"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","RichFactor","FoldEnrichment"
"hsa04978","hsa04978","Mineral absorption","2/375","60/8644",0.741072175967163,0.99945738136515,0.833775760322521,"SLC46A1/ATP1A3",2,0.0333333333333333,0.768355555555556
"hsa04670","hsa04670","Leukocyte transendothelial migration","4/375","115/8644",0.741498329432278,0.99945738136515,0.833775760322521,"PLCG1/MAPK11/ITK/TXK",4,0.0347826086956522,0.80176231884058
"hsa00030","hsa00030","Pentose phosphate pathway","1/375","31/8644",0.747754637801262,0.99945738136515,0.833775760322521,"TKTL1",1,0.032258064516129,0.743569892473118
"hsa00410","hsa00410","beta-Alanine metabolism","1/375","31/8644",0.747754637801262,0.99945738136515,0.833775760322521,"CARNS1",1,0.032258064516129,0.743569892473118
"hsa04213","hsa04213","Longevity regulating pathway - multiple species","2/375","61/8644",0.749337565322004,0.99945738136515,0.833775760322521,"RPTOR/ADCY9",2,0.0327868852459016,0.75575956284153
"hsa05131","hsa05131","Shigellosis","9/375","247/8644",0.751292793475164,0.99945738136515,0.833775760322521,"TP53/SEPTIN8/PRKCQ/RPTOR/TRAF5/PLCG1/BCL2/ITPR3/MAPK11",9,0.0364372469635627,0.839902834008097
"hsa00140","hsa00140","Steroid hormone biosynthesis","2/375","62/8644",0.757375527267707,0.999999954290646,0.834228390081348,"HSD17B8/CYP2E1",2,0.032258064516129,0.743569892473118
"hsa04144","hsa04144","Endocytosis","9/375","250/8644",0.763709430600626,0.999999954290646,0.834228390081348,"AMPH/SMAD3/BIN1/RAB11FIP5/CCR5/IL2RB/IL2RA/KIF5C/AGAP1",9,0.036,0.829824
"hsa03250","hsa03250","Viral life cycle - HIV-1","2/375","63/8644",0.765190177519207,0.999999954290646,0.834228390081348,"CD4/CCR5",2,0.0317460317460317,0.731767195767196
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","5/375","148/8644",0.775877350615805,0.999999954290646,0.834228390081348,"ITPR3/ADCY9/MAPK11/DAGLA/NDUFC2-KCTD14",5,0.0337837837837838,0.778738738738739
"hsa00051","hsa00051","Fructose and mannose metabolism","1/375","34/8644",0.779291873635802,0.999999954290646,0.834228390081348,"PFKFB2",1,0.0294117647058824,0.677960784313725
"hsa05171","hsa05171","Coronavirus disease - COVID-19","8/375","232/8644",0.795203567589402,0.999999954290646,0.834228390081348,"PLCG1/ACE/MAPK11/TLR7/RPL36/TLR3/NRP1/CCL2",8,0.0344827586206897,0.794850574712644
"hsa00500","hsa00500","Starch and sucrose metabolism","1/375","36/8644",0.798099715524783,0.999999954290646,0.834228390081348,"ENPP3",1,0.0277777777777778,0.640296296296296
"hsa00830","hsa00830","Retinol metabolism","2/375","68/8644",0.801062070591835,0.999999954290646,0.834228390081348,"DHRS3/CYP2S1",2,0.0294117647058824,0.677960784313725
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","13/375","364/8644",0.804200847587194,0.999999954290646,0.834228390081348,"TP53/HNRNPA1L2/NUP210/ULK2/BCL2/ITPR3/DNAI2/MAPK11/NEFL/KIF5C/DNAH6/TUBB4A/NDUFC2-KCTD14",13,0.0357142857142857,0.823238095238095
"hsa04924","hsa04924","Renin secretion","2/375","69/8644",0.807626378278735,0.999999954290646,0.834228390081348,"ACE/ITPR3",2,0.0289855072463768,0.668135265700483
"hsa04917","hsa04917","Prolactin signaling pathway","2/375","70/8644",0.813997483001268,0.999999954290646,0.834228390081348,"MAPK11/PRLR",2,0.0285714285714286,0.658590476190476
"hsa04110","hsa04110","Cell cycle","5/375","157/8644",0.817706699007829,0.999999954290646,0.834228390081348,"TP53/CDC25B/SMAD3/TGFB3/MAD1L1",5,0.0318471337579618,0.734097664543525
"hsa00982","hsa00982","Drug metabolism - cytochrome P450","2/375","72/8644",0.826177489634536,0.999999954290646,0.834228390081348,"MAOA/CYP2E1",2,0.0277777777777778,0.640296296296296
"hsa04137","hsa04137","Mitophagy - animal","3/375","103/8644",0.830723665736882,0.999999954290646,0.834228390081348,"TP53/MRAS/ATG9B",3,0.029126213592233,0.671378640776699
"hsa03320","hsa03320","PPAR signaling pathway","2/375","75/8644",0.843106775045019,0.999999954290646,0.834228390081348,"FABP2/ME3",2,0.0266666666666667,0.614684444444444
"hsa04915","hsa04915","Estrogen signaling pathway","4/375","137/8644",0.851738269924678,0.999999954290646,0.834228390081348,"BCL2/ITPR3/ADCY9/NOS3",4,0.0291970802919708,0.673012165450122
"hsa05100","hsa05100","Bacterial invasion of epithelial cells","2/375","77/8644",0.853548838155443,0.999999954290646,0.834228390081348,"SEPTIN8/SEPTIN1",2,0.025974025974026,0.598718614718615
"hsa04620","hsa04620","Toll-like receptor signaling pathway","3/375","108/8644",0.853874708838071,0.999999954290646,0.834228390081348,"MAPK11/TLR7/TLR3",3,0.0277777777777778,0.640296296296296
"hsa04931","hsa04931","Insulin resistance","3/375","108/8644",0.853874708838071,0.999999954290646,0.834228390081348,"PRKCQ/TBC1D4/NOS3",3,0.0277777777777778,0.640296296296296
"hsa04721","hsa04721","Synaptic vesicle cycle","2/375","78/8644",0.858529172454945,0.999999954290646,0.834228390081348,"ATP6V0E2/SLC1A7",2,0.0256410256410256,0.591042735042735
"hsa04962","hsa04962","Vasopressin-regulated water reabsorption","1/375","44/8644",0.858642321381909,0.999999954290646,0.834228390081348,"ADCY9",1,0.0227272727272727,0.523878787878788
"hsa04024","hsa04024","cAMP signaling pathway","7/375","225/8644",0.863166089434282,0.999999954290646,0.834228390081348,"CAMK2D/TIAM1/ADCY9/ATP1A3/CAMK4/PTCH1/HTR6",7,0.0311111111111111,0.717131851851852
"hsa03018","hsa03018","RNA degradation","2/375","79/8644",0.863354505098094,0.999999954290646,0.834228390081348,"DCP1B/ENO2",2,0.0253164556962025,0.583561181434599
"hsa03050","hsa03050","Proteasome","1/375","46/8644",0.8707019388388,0.999999954290646,0.834228390081348,"IFNG",1,0.0217391304347826,0.501101449275362
"hsa05206","hsa05206","MicroRNAs in cancer","10/375","310/8644",0.87198158006915,0.999999954290646,0.834228390081348,"TP53/CDC25B/RPTOR/PLCG1/BCL2/ERBB2/ABCB1/PDGFRB/GLS2/BMI1",10,0.032258064516129,0.743569892473118
"hsa04810","hsa04810","Regulation of actin cytoskeleton","7/375","229/8644",0.874627815856212,0.999999954290646,0.834228390081348,"ITGB7/MRAS/TIAM1/ITGA3/PDGFD/BUB1B-PAK6/PDGFRB",7,0.0305676855895196,0.704605531295488
"hsa04973","hsa04973","Carbohydrate digestion and absorption","1/375","47/8644",0.876341247158811,0.999999954290646,0.834228390081348,"ATP1A3",1,0.0212765957446809,0.490439716312057
"hsa04146","hsa04146","Peroxisome","2/375","83/8644",0.881185565011928,0.999999954290646,0.834228390081348,"EPHX2/ABCD2",2,0.0240963855421687,0.555437751004016
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation","1/375","48/8644",0.881735225560049,0.999999954290646,0.834228390081348,"IL4I1",1,0.0208333333333333,0.480222222222222
"hsa05203","hsa05203","Viral carcinogenesis","6/375","204/8644",0.88329276027365,0.999999954290646,0.834228390081348,"TP53/TRAF5/CCR5/MAD1L1/CCR3/EGR2",6,0.0294117647058824,0.677960784313726
"hsa03083","hsa03083","Polycomb repressive complex","2/375","84/8644",0.885295174290133,0.999999954290646,0.834228390081348,"AUTS2/BMI1",2,0.0238095238095238,0.548825396825397
"hsa05030","hsa05030","Cocaine addiction","1/375","49/8644",0.886894519465933,0.999999954290646,0.834228390081348,"MAOA",1,0.0204081632653061,0.470421768707483
"hsa03082","hsa03082","ATP-dependent chromatin remodeling","3/375","117/8644",0.888650151780317,0.999999954290646,0.834228390081348,"MTA3/MACROH2A2/BCL7A",3,0.0256410256410256,0.591042735042735
"hsa05012","hsa05012","Parkinson disease","8/375","266/8644",0.897250621163863,0.999999954290646,0.834228390081348,"MAOA/TP53/PLCG1/CAMK2D/ITPR3/KIF5C/TUBB4A/NDUFC2-KCTD14",8,0.0300751879699248,0.69325313283208
"hsa04152","hsa04152","AMPK signaling pathway","3/375","121/8644",0.901585732033515,0.999999954290646,0.834228390081348,"PFKFB2/RPTOR/PPP2R2B",3,0.0247933884297521,0.571504132231405
"hsa04727","hsa04727","GABAergic synapse","2/375","89/8644",0.903939511927619,0.999999954290646,0.834228390081348,"ADCY9/GLS2",2,0.0224719101123595,0.517992509363296
"hsa01240","hsa01240","Biosynthesis of cofactors","4/375","153/8644",0.904367269004289,0.999999954290646,0.834228390081348,"DHRS3/AK1/AK5/IDO1",4,0.0261437908496732,0.602631808278867
"hsa00510","hsa00510","N-Glycan biosynthesis","1/375","53/8644",0.905382044288116,0.999999954290646,0.834228390081348,"MAN1C1",1,0.0188679245283019,0.434918238993711
"hsa04932","hsa04932","Non-alcoholic fatty liver disease","4/375","155/8644",0.909627139144384,0.999999954290646,0.834228390081348,"MAPK11/CYP2E1/FASLG/NDUFC2-KCTD14",4,0.0258064516129032,0.594855913978495
"hsa05020","hsa05020","Prion disease","8/375","272/8644",0.909901142448539,0.999999954290646,0.834228390081348,"FYN/ITPR3/RYR1/MAPK11/KIF5C/TUBB4A/NCAM1/NDUFC2-KCTD14",8,0.0294117647058824,0.677960784313725
"hsa04621","hsa04621","NOD-like receptor signaling pathway","5/375","186/8644",0.911551152882667,0.999999954290646,0.834228390081348,"TRAF5/BCL2/ITPR3/MAPK11/CCL2",5,0.0268817204301075,0.619641577060932
"hsa00480","hsa00480","Glutathione metabolism","1/375","57/8644",0.920854439529226,0.999999954290646,0.834228390081348,"GGT7",1,0.0175438596491228,0.404397660818713
"hsa04613","hsa04613","Neutrophil extracellular trap formation","5/375","191/8644",0.922534286881129,0.999999954290646,0.834228390081348,"MACROH2A2/PLCG1/MAPK11/TLR7/FPR3",5,0.0261780104712042,0.603420593368237
"hsa04926","hsa04926","Relaxin signaling pathway","3/375","129/8644",0.923473282577451,0.999999954290646,0.834228390081348,"ADCY9/MAPK11/NOS3",3,0.0232558139534884,0.536062015503876
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","1/375","58/8644",0.924310778783511,0.999999954290646,0.834228390081348,"ADCY9",1,0.0172413793103448,0.397425287356322
"hsa03015","hsa03015","mRNA surveillance pathway","2/375","97/8644",0.927994565972492,0.999999954290646,0.834228390081348,"GSPT2/PPP2R2B",2,0.0206185567010309,0.47527147766323
"hsa04142","hsa04142","Lysosome","3/375","132/8644",0.930464836085784,0.999999954290646,0.834228390081348,"CTSF/NAPSA/CTSW",3,0.0227272727272727,0.523878787878788
"hsa00310","hsa00310","Lysine degradation","1/375","63/8644",0.939460787474872,0.999999954290646,0.834228390081348,"COLGALT2",1,0.0158730158730159,0.365883597883598
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","1/375","67/8644",0.949371235519143,0.999999954290646,0.834228390081348,"ENO2",1,0.0149253731343284,0.344039800995025
"hsa05010","hsa05010","Alzheimer disease","11/375","384/8644",0.950052779193659,0.999999954290646,0.834228390081348,"ULK2/WNT10B/APBB1/ITPR3/WNT7A/KIF5C/TUBB4A/WNT10A/WNT1/AXIN2/NDUFC2-KCTD14",11,0.0286458333333333,0.660305555555556
"hsa04922","hsa04922","Glucagon signaling pathway","2/375","107/8644",0.950117350162404,0.999999954290646,0.834228390081348,"CAMK2D/ITPR3",2,0.0186915887850467,0.430853582554517
"hsa04920","hsa04920","Adipocytokine signaling pathway","1/375","69/8644",0.953701840834133,0.999999954290646,0.834228390081348,"PRKCQ",1,0.0144927536231884,0.334067632850242
"hsa05204","hsa05204","Chemical carcinogenesis - DNA adducts","1/375","70/8644",0.95572654167229,0.999999954290646,0.834228390081348,"CYP2E1",1,0.0142857142857143,0.329295238095238
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation","5/375","212/8644",0.956578939266286,0.999999954290646,0.834228390081348,"BCL2/ADCY9/EPHX2/WNT1/DLL1",5,0.0235849056603774,0.543647798742138
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway","1/375","71/8644",0.957662924559261,0.999999954290646,0.834228390081348,"MAPK11",1,0.0140845070422535,0.324657276995305
"hsa05132","hsa05132","Salmonella infection","6/375","249/8644",0.962918486890565,0.999999954290646,0.834228390081348,"TCF7/BCL2/MAPK11/LEF1/KIF5C/TUBB4A",6,0.0240963855421687,0.555437751004016
"hsa05034","hsa05034","Alcoholism","4/375","188/8644",0.966143716519362,0.999999954290646,0.834228390081348,"MAOA/MACROH2A2/SLC29A2/CAMK4",4,0.0212765957446809,0.490439716312057
"hsa00983","hsa00983","Drug metabolism - other enzymes","1/375","80/8644",0.971698256605176,0.999999954290646,0.834228390081348,"CYP2E1",1,0.0125,0.288133333333333
"hsa05130","hsa05130","Pathogenic Escherichia coli infection","4/375","198/8644",0.975251447559898,0.999999954290646,0.834228390081348,"FYN/MAPK11/FASLG/TUBB4A",4,0.0202020202020202,0.465670033670034
"hsa04742","hsa04742","Taste transduction","1/375","86/8644",0.978367654281862,0.999999954290646,0.834228390081348,"ITPR3",1,0.0116279069767442,0.268031007751938
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","3/375","170/8644",0.980513624152932,0.999999954290646,0.834228390081348,"MAN1C1/BCL2/WFS1",3,0.0176470588235294,0.406776470588235
"hsa05016","hsa05016","Huntington disease","7/375","306/8644",0.981578665757247,0.999999954290646,0.834228390081348,"TP53/ULK2/DNAI2/KIF5C/DNAH6/TUBB4A/NDUFC2-KCTD14",7,0.0228758169934641,0.527302832244009
"hsa00190","hsa00190","Oxidative phosphorylation","2/375","134/8644",0.982040216839856,0.999999954290646,0.834228390081348,"ATP6V0E2/NDUFC2-KCTD14",2,0.0149253731343284,0.344039800995025
"hsa05032","hsa05032","Morphine addiction","1/375","91/8644",0.982710529377424,0.999999954290646,0.834228390081348,"ADCY9",1,0.010989010989011,0.253304029304029
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species","4/375","223/8644",0.988993205572596,0.999999954290646,0.834228390081348,"MAPK11/EPHX2/CYP2E1/NDUFC2-KCTD14",4,0.0179372197309417,0.413464872944694
"hsa04714","hsa04714","Thermogenesis","4/375","232/8644",0.99184703010776,0.999999954290646,0.834228390081348,"RPTOR/ADCY9/MAPK11/NDUFC2-KCTD14",4,0.0172413793103448,0.397425287356322
"hsa03013","hsa03013","Nucleocytoplasmic transport","1/375","108/8644",0.991937840178979,0.999999954290646,0.834228390081348,"NUP210",1,0.00925925925925926,0.213432098765432
"hsa04910","hsa04910","Insulin signaling pathway","1/375","137/8644",0.997813848584119,0.999999954290646,0.834228390081348,"RPTOR",1,0.0072992700729927,0.16825304136253
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","1/375","142/8644",0.99825513683767,0.999999954290646,0.834228390081348,"TRIM32",1,0.00704225352112676,0.162328638497653
"hsa03040","hsa03040","Spliceosome","2/375","216/8644",0.999325041856995,0.999999954290646,0.834228390081348,"HNRNPA1L2/PRPF40B",2,0.00925925925925926,0.213432098765432
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes","1/375","164/8644",0.999354022396683,0.999999954290646,0.834228390081348,"NAT10",1,0.00609756097560976,0.140552845528455
"hsa03010","hsa03010","Ribosome","1/375","167/8644",0.99943599643187,0.999999954290646,0.834228390081348,"RPL36",1,0.00598802395209581,0.138027944111776
"hsa04740","hsa04740","Olfactory transduction","2/375","439/8644",0.999999954290646,0.999999954290646,0.834228390081348,"CAMK2D/NCALD",2,0.00455580865603645,0.105014426727411
